xh,xzqh,wjwfbsj,xqmc,lon,lat
1,深圳市福田区,3月6日,莲花一村,114.0647634,22.55646042
2,深圳市福田区,2月22日,水围九街,114.0570706,22.52504852
3,深圳市龙岗区,2月16日,佳兆业·中央广场一期,114.0638197,22.65625598
4,深圳市宝安区,2月16日,万科·金色领域一期（宝安大道）,113.8046286,22.65727855
5,深圳市南山区,2月16日,鼎太风华二期,113.9000651,22.51789587
6,深圳市福田区,2月16日,鑫竹苑,114.0062522,22.53392928
7,深圳市宝安区,2月15日,华润万家（宝安店）,113.900095,22.56330525
8,深圳市宝安区,2月15日,宝民社区灶下村,113.8937048,22.56894407
9,深圳市南山区,2月15日,西海明珠,113.9251615,22.53357082
10,深圳市福田区,2月15日,益田村,114.0481107,22.51724201
11,深圳市龙岗区,2月14日,锦航酒店,114.149299,22.60914103
12,深圳市龙岗区,2月14日,百合星城二期,114.1162759,22.59949478
13,深圳市福田区,2月14日,福宁街桐林公寓,114.0736492,22.53503453
14,深圳市福田区,2月14日,新世界·四季山水一期,114.0408003,22.57385431
15,深圳市龙华区,2月13日,花半里,114.2304791,22.72339627
16,深圳市龙华区,2月13日,西头新村四区,114.0117804,22.64492689
17,深圳市宝安区,2月13日,潭头社区四村,113.8427305,22.7532446
18,深圳市宝安区,2月13日,沙井西荟城,113.8121777,22.73477694
19,深圳市坪山区,2月12日,汤坑社区东方丽园,114.3093255,22.67997281
20,深圳市盐田区,2月12日,东海丽景花园,114.2535022,22.59314454
21,深圳市福田区,2月12日,玮鹏花园,114.0895181,22.54486678
22,深圳市龙岗区,2月12日,上木古社区岭根吓,114.1118643,22.66922323
23,深圳市龙岗区,2月12日,新亚洲花园,114.2312887,22.71805746
24,深圳市龙岗区,2月12日,正大时代华庭,114.1765102,22.64970302
25,深圳市宝安区,2月12日,东方社区上头田新村,113.8410188,22.76166631
26,深圳市南山区,2月12日,花园城一期,113.9177447,22.50671115
27,深圳市宝安区,2月11日,金泓凯旋城,113.8936121,22.55058153
28,深圳市南山区,2月11日,御景峰,114.007117,22.60084288
29,深圳市南山区,2月10日12时,珠光村西区,113.9554008,22.5749619
30,深圳市福田区,2月9日12时,海田路1008号雅颂居,114.0615248,22.54649563
31,深圳市福田区,2月9日12时,下沙花好园,114.0202258,22.53112825
32,深圳市福田区,2月9日12时,金地名津,114.0684582,22.51859769
33,深圳市龙岗区,2月9日12时,万科麓城,114.0987957,22.6259927
34,深圳市龙岗区,2月9日12时,金德丰雅居,114.1078908,22.69268699
35,深圳市宝安区,2月9日12时,松岗街道红星村温屋,113.8313433,22.76921131
36,深圳市宝安区,2月9日12时,丽枫酒店（深圳海雅缤纷城店）,113.9014697,22.56083672
37,深圳市南山区,2月9日12时,艺华花园,113.926252,22.55101109
38,深圳市罗湖区,2月9日12时,嘉宝田花园,114.106052,22.56048624
39,深圳市盐田区,2月9日12时,京基洲际度假酒店,114.309816,22.60045235
40,深圳市龙岗区,2月8日12时,全伟达工业园,114.0958081,22.63100978
41,深圳市龙岗区,2月8日12时,杨美社区长坑三区,114.0753403,22.62985256
42,深圳市南山区,2月8日12时,西丽塘朗城,113.9956139,22.59207914
43,深圳市南山区,2月8日12时,水木华庭,113.9753086,22.56549453
44,深圳市南山区,2月8日12时,招商街道沿山路63号,113.9144227,22.50297935
45,深圳市宝安区,2月8日12时,金港华庭,113.8563901,22.58514024
46,深圳市福田区,2月8日12时,新洲牌坊街雅庭精品酒店,114.0408061,22.52884425
47,深圳市罗湖区,2月8日12时,海陇华苑,114.1274442,22.54950701
48,深圳市龙岗区,2月7日24时,华为荔枝苑,114.0692381,22.63641025
49,深圳市龙岗区,2月7日24时,德兴花园德贵苑,114.1060415,22.59236742
50,深圳市南山区,2月7日24时,天鹅湖花园,113.9784138,22.55024463
51,深圳市南山区,2月7日24时,留仙居南A区,113.9457637,22.58468211
52,深圳市宝安区,2月7日24时,永丰社区六区,113.8625345,22.57570544
53,深圳市宝安区,2月7日24时,怀德公元,113.8223632,22.67174902
54,深圳市福田区,2月7日24时,梅林山水居,114.0385687,22.5738537
55,深圳市罗湖区,2月7日24时,松园北街38号大院,114.1025435,22.55646389
56,深圳市龙岗区,2月6日24时,山厦社区南油花园,114.1050793,22.69940412
57,深圳市龙岗区,2月6日24时,卓然居,114.1646218,22.64585517
58,深圳市龙岗区,2月6日24时,家和花园南区,114.0562984,22.61433094
59,深圳市龙岗区,2月6日24时,远洋新干线君域花园,114.2596691,22.72102543
60,深圳市龙岗区,2月6日24时,鼎尚华庭,114.2953857,22.77518925
61,深圳市龙岗区,2月6日24时,雪象花园新村,114.0702059,22.65335824
62,深圳市龙岗区,2月6日24时,禾坪岗禾坪路5号,114.0618148,22.6596011
63,深圳市南山区,2月6日24时,水木丹华,113.9844678,22.59448879
64,深圳市南山区,2月6日24时,大磡1村,113.970884,22.6250254
65,深圳市南山区,2月6日24时,万科云城一期,113.936409,22.57620766
66,深圳市南山区,2月6日24时,汉庭优佳酒店（西丽地铁站店）,113.9499069,22.58172889
67,深圳市宝安区,2月6日24时,松新石岗大楼,113.8354231,22.76960228
68,深圳市宝安区,2月6日24时,福中福幸福海岸,113.8745197,22.56240113
69,深圳市宝安区,2月6日24时,鸿景园,113.8858667,22.5776897
70,深圳市宝安区,2月6日24时,一尚领航优品酒店,113.8431956,22.6118119
71,深圳市福田区,2月6日24时,新洲花园,114.0429679,22.52924698
72,深圳市福田区,2月6日24时,金地香蜜山,114.0119906,22.5568351
73,深圳市福田区,2月6日24时,下沙村四坊,114.0206837,22.52743104
74,深圳市罗湖区,2月6日24时,东方颐园,114.1215437,22.55227996
75,深圳市罗湖区,2月6日24时,天景花园,114.1369719,22.56280288
76,深圳市光明区,2月6日24时,玉律村一区,113.8853465,22.71831435
77,深圳市南山区,2月5日24时,诺德假日花园,113.898292398,22.512983349
78,深圳市南山区,2月5日24时,东方花园,113.974602189,22.535384555
79,深圳市南山区,2月5日24时,海景嘉途酒店,113.981498876,22.537565543
80,深圳市南山区,2月5日24时,雷公岭村,113.923507467,22.494154593
81,深圳市南山区,2月5日24时,海淮路与海天一路交界处工地生活区,113.939513042,22.527433604
82,深圳市龙岗区,2月5日24时,布吉海心汇福园,114.105824997,22.620748587
83,深圳市龙岗区,2月5日24时,吉信街如家酒店,114.111866884,22.603941431
84,深圳市龙岗区,2月5日24时,和磡村和磡路3号,114.058041337,22.62598776
85,深圳市福田区,2月5日24时,香格里拉大酒店,114.052516337,22.538989437
86,深圳市福田区,2月5日24时,御锦公馆,114.05284962,22.573437057
87,深圳市宝安区,2月5日24时,荣泰园,113.817399573,22.726749093
88,深圳市光明区,2月5日24时,横岭新村,113.878922888,22.782354023
89,深圳市福田区,2月4日24时,香山美树苑,114.009562434,22.543429108
90,深圳市福田区,2月4日24时,下梅林河背村,114.037817266,22.566789003
91,深圳市福田区,2月4日24时,东海国际公寓,114.014523939,22.539337493
92,深圳市福田区,2月4日24时,园中花园,114.094063491,22.554749337
93,深圳市南山区,2月4日24时,大冲新城花园,113.94540125,22.545930774
94,深圳市南山区,2月4日24时,南光花园,113.920366011,22.525138722
95,深圳市南山区,2月4日24时,恒立心海湾花园,113.89020843,22.50395701
96,深圳市罗湖区,2月4日24时,海鹰大厦,114.063564709,22.538130868
97,深圳市罗湖区,2月4日24时,鸿翔花园,114.101329274,22.556609041
98,深圳市龙华区,2月4日24时,观湖街道观壹城,114.063692154,22.719524735
99,深圳市龙华区,2月4日24时,民治街道锦绣江南,114.024591214,22.639489533
100,深圳市宝安区,2月4日24时,新安街道灵芝新村,113.904247127,22.568235428
101,深圳市龙岗区,2月4日24时,嶂背步行街,114.236908799,22.68718567
102,深圳市坪山区,2月4日24时,东纵路6-3号,114.371496008,22.691761476
103,深圳市福田区,2月3日24时,新世界伟瑞酒店,114.047961642,22.56860046
104,深圳市福田区,2月3日24时,福滨新村,114.073642425,22.532943777
105,深圳市福田区,2月3日24时,福祥街2号1栋,114.078039491,22.534955465
106,深圳市福田区,2月3日24时,梅林街道兰江山第,114.008649411,22.567817745
107,深圳市福田区,2月3日24时,益田村,114.048110673,22.517242008
108,深圳市福田区,2月3日24时,景田北景龙大厦,114.040274232,22.560769663
109,深圳市罗湖区,2月3日24时,翠华花园,114.127400649,22.558209306
110,深圳市罗湖区,2月3日24时,泥岗西路自来水公司大院,114.096577829,22.570102552
111,深圳市罗湖区,2月3日24时,合正荣悦府,114.125019977,22.55477157
112,深圳市罗湖区,2月3日24时,梧桐山社区赤水洞村,114.182955647,22.593176059
113,深圳市罗湖区,2月3日24时,百仕达花园5期,114.13698885,22.570297119
114,深圳市罗湖区,2月3日24时,大望社区新田村,114.170532933,22.60163361
115,深圳市宝安区,2月3日24时,海华社区自由北小区,113.878912939,22.572369193
116,深圳市宝安区,2月3日24时,松茂·御龙湾,113.849227201,22.576263748
117,深圳市宝安区,2月3日24时,深航幸福花园,113.807233726,22.702153826
118,深圳市宝安区,2月3日24时,塘尾社区蚝二佳仕泰科技园宿舍,113.778870184,22.704573326
119,深圳市龙岗区,2月3日24时,桂芳园八期,114.133719147,22.610639144
120,深圳市龙岗区,2月3日24时,中骏四季阳光一期,114.29859672,22.724611497
121,深圳市龙岗区,2月3日24时,平湖山厦社区梨头廖,114.110006508,22.707104248
122,深圳市龙岗区,2月3日24时,招商依山郡,114.21533773,22.732383885
123,深圳市南山区,2月3日24时,白石洲东四坊,113.965601194,22.535054679
124,深圳市南山区,2月3日24时,登良花园,113.916329414,22.517759393
125,深圳市光明区,2月3日24时,传麒山,113.939328203,22.745494226
126,深圳市龙华区,2月3日24时,观澜街道库坑中心区,114.029676185,22.738153538
127,深圳市福田区,2月2日24时,益田花园,114.052197804,22.515678985
128,深圳市福田区,2月2日24时,笔架山公园员工宿舍,114.071608737,22.558181902
129,深圳市福田区,2月2日24时,上步中路盛夏公寓,114.090334859,22.5505063
130,深圳市福田区,2月2日24时,莲花北村,114.04552684,22.561959257
131,深圳市福田区,2月2日24时,上沙东村八巷,114.02686177,22.525117906
132,深圳市福田区,2月2日24时,新洲四街香江西苑,114.03652945,22.526695335
133,深圳市南山区,2月2日24时,白石洲新堂花园,113.966292015,22.551124677
134,深圳市南山区,2月2日24时,哈尔滨工业大学（深圳）宿舍楼,113.968368889,22.588888764
135,深圳市南山区,2月2日24时,南山街道学府花园,113.921340247,22.528951626
136,深圳市南山区,2月2日24时,沙河街道华侨城东组团小区,113.985526566,22.538762276
137,深圳市南山区,2月2日24时,蛇口街道豪方泽公寓,113.930517094,22.491469947
138,深圳市宝安区,2月2日24时,宏发世纪城,113.942742648,22.682975368
139,深圳市宝安区,2月2日24时,泰华商业城,113.899300908,22.571175514
140,深圳市宝安区,2月2日24时,新安街道甲岸村,113.899240959,22.564643287
141,深圳市宝安区,2月2日24时,满京华云著花园,113.827199495,22.785617476
142,深圳市宝安区,2月2日24时,星曜名城B栋,113.916093233,22.695485973
143,深圳市龙岗区,2月2日24时,布吉新三村,114.113798742,22.610165143
144,深圳市龙岗区,2月2日24时,布吉慢城,114.124712409,22.626972828
145,深圳市龙岗区,2月2日24时,西环路八约1街龙富花园,114.103706019,22.609962337
146,深圳市龙岗区,2月2日24时,华策中心城,114.239666795,22.703883564
147,深圳市龙岗区,2月2日24时,金龙豪庭B栋,114.142047988,22.620301486
148,深圳市光明区,2月2日24时,新陂头村新美一村,113.937151413,22.806100706
149,深圳市光明区,2月2日24时,宏发上域,113.900728503,22.786360504
150,深圳市光明区,2月2日24时,薯田埔村福南路华业苑,113.869978541,22.782692786
151,深圳市龙华区,2月2日24时,南国丽园,114.025103349,22.656555804
152,深圳市龙华区,2月2日24时,星河丹堤,114.050897183,22.594283918
153,深圳市罗湖区,2月2日24时,中兴路88号汉庭酒店,114.121508654,22.552348695
154,深圳市南山区,2月1日24时,西海湾花园,113.927315103,22.517265695
155,深圳市南山区,2月1日24时,后海雅园,113.93090667,22.49652283
156,深圳市南山区,2月1日24时,雍景轩赏湖阁,113.922615865,22.497600826
157,深圳市南山区,2月1日24时,桑泰丹华府三期,113.960828067,22.59062844
158,深圳市南山区,2月1日24时,佳兆业前海广场,113.881540583,22.497018973
159,深圳市南山区,2月1日24时,阳光华艺大厦B座,113.923527171,22.528009289
160,深圳市龙岗区,2月1日24时,回龙埔万科翰邻城,114.225276608,22.732721447
161,深圳市龙岗区,2月1日24时,大族河山,114.152232688,22.61533847
162,深圳市龙岗区,2月1日24时,华创云轩B座,114.060709831,22.654331526
163,深圳市龙岗区,2月1日24时,秀丽山庄,114.102289769,22.614083647
164,深圳市龙岗区,2月1日24时,中央悦城,114.237263587,22.735228074
165,深圳市福田区,2月1日24时,福华路维也纳酒店,114.075394703,22.539773844
166,深圳市福田区,2月1日24时,八卦四路意馨居,114.096583732,22.567314319
167,深圳市福田区,2月1日24时,景田天健花园,114.028703137,22.559870023
168,深圳市龙华区,2月1日24时,春华四季园,114.047548827,22.624242492
169,深圳市宝安区,2月1日24时,万象新天2期,113.845910226,22.606424273
170,深圳市南山区,1月31日12时,沙河街道沙河东路世纪村,113.960851181,22.536586312
171,深圳市南山区,1月31日12时,鸿丰大酒店,114.119730128,22.540084939
172,深圳市南山区,1月31日12时,科技园华润城,113.946655141,22.545324091
173,深圳市南山区,1月31日12时,华侨城香山美墅,113.964625441,22.553596274
174,深圳市南山区,1月31日12时,大冲宿禾服务式公寓,113.947068768,22.544669053
175,深圳市南山区,1月31日12时,锦绣花园,113.990585709,22.537506507
176,深圳市南山区,1月31日12时,蛇口街道东角头港湾花园,113.929900044,22.48994383
177,深圳市南山区,1月31日12时,蔚蓝海岸,113.932292834,22.509631615
178,深圳市南山区,1月31日12时,蛇口街道四海公寓,113.926630382,22.496933163
179,深圳市南山区,1月31日12时,宝能太古城北区,113.934125442,22.504389932
180,深圳市南山区,1月31日12时,蓝月湾畔,113.930765866,22.507057451
181,深圳市南山区,1月31日12时,中洲万豪酒店,113.928337135,22.520650441
182,深圳市南山区,1月31日12时,南山街道友邻公寓,113.924866109,22.53445947
183,深圳市南山区,1月31日12时,南山街道现代城华庭,113.919751402,22.520116214
184,深圳市南山区,1月31日12时,南山街道阳光棕榈园,113.907727749,22.528795529
185,深圳市福田区,1月31日12时,莲花街道景蜜村,114.033095405,22.558259481
186,深圳市福田区,1月31日12时,香蜜新村东区,114.037480599,22.54952752
187,深圳市福田区,1月31日12时,华富街道福莲花园,114.063936257,22.550492131
188,深圳市福田区,1月31日12时,侨香村,114.008407102,22.55519311
189,深圳市福田区,1月31日12时,碧华庭居翠园,114.045400904,22.565918317
190,深圳市福田区,1月31日12时,福华新村,114.066299358,22.536476955
191,深圳市福田区,1月31日12时,益田花园豪园居,114.051260943,22.517747201
192,深圳市福田区,1月31日12时,园岭新村,114.095489794,22.556887684
193,深圳市福田区,1月31日12时,南园街道南园路五邑大厦,114.082317453,22.541023351
194,深圳市福田区,1月31日12时,梅东三路半山御景,114.065548516,22.575485547
195,深圳市龙华区,1月31日12时,龙华圆酒店,114.016393109,22.628098018
196,深圳市龙华区,1月31日12时,观澜湖高尔夫大宅昆士顿区,114.066313505,22.738058094
197,深圳市龙华区,1月31日12时,民治街道金地梅陇镇,114.027246835,22.633493486
198,深圳市龙华区,1月31日12时,民治街道梅龙苑,114.031251327,22.647482293
199,深圳市龙华区,1月31日12时,观湖街道懿花园,114.058602285,22.695734227
200,深圳市龙华区,1月31日12时,观澜街道华盛峰荟名庭2期,114.037969942,22.714524459
201,深圳市龙岗区,1月31日12时,嘉霖·龙禧（龙禧雅苑）,114.241040069,22.743677873
202,深圳市龙岗区,1月31日12时,华浩源,114.119820795,22.626262716
203,深圳市龙岗区,1月31日12时,龙城街道万象天成,114.248414019,22.72589688
204,深圳市龙岗区,1月31日12时,布吉街道百合山庄,114.115218776,22.597612158
205,深圳市龙岗区,1月31日12时,龙岗街道宝能悦澜山,114.245931293,22.737670468
206,深圳市宝安区,1月31日12时,桃源居,113.85965537,22.617923798
207,深圳市宝安区,1月31日12时,航城街道南航明珠花园,113.837618553,22.608378874
208,深圳市宝安区,1月31日12时,新安街道安乐花园,113.899437756,22.553957461
209,深圳市宝安区,1月31日12时,福永街道星航华府,113.828104831,22.646052481
210,深圳市宝安区,1月31日12时,西乡我们家公寓（海湾家2号楼）,113.85462101,22.582714035
211,深圳市宝安区,1月31日12时,明玉路11号花样年·花郡,113.877335728,22.567109136
212,深圳市罗湖区,1月31日12时,罗湖村五坊,114.116936513,22.538513643
213,深圳市罗湖区,1月31日12时,田贝二路金翠园,114.124086967,22.563864906
214,深圳市罗湖区,1月31日12时,红桂路红桂一街50号环保大院,114.101227243,22.550097954
215,深圳市罗湖区,1月31日12时,长城大酒店,114.101809814,22.552699769
216,深圳市坪山区,1月31日12时,龙田街道东城大厦维也纳酒店,114.389385645,22.717668361
217,深圳市坪山区,1月31日12时,龙田街道金茂园酒店,114.351498393,22.703179812
218,深圳市坪山区,1月31日12时,坪山街道易林源酒店,114.326668227,22.68984159
219,深圳市光明区,1月31日12时,公明街道振明路南庄合众豪庭后面三巷,113.902516376,22.774837315
220,深圳市大鹏新区,1月31日12时,万豪酒店,114.454306478,22.572379492
221,深圳市福田区,1月30日12时,福港路西阳光城市,114.065648173,22.525900471
222,深圳市福田区,1月30日12时,越众小区,114.006246991,22.539513383
223,深圳市福田区,1月30日12时,沙嘴村一坊,114.032538383,22.521716951
224,深圳市福田区,1月30日12时,竹子林越海家园依山阁,114.00179375,22.53830381
225,深圳市福田区,1月30日12时,福保街道明月花园,114.050308296,22.527312981
226,深圳市福田区,1月30日12时,华强北街道航苑大厦西座,114.077541265,22.546696327
227,深圳市福田区,1月30日12时,福保街道红树福苑,114.040751667,22.512527455
228,深圳市南山区,1月30日12时,丽山路西湖林语,113.960492313,22.59587847
229,深圳市南山区,1月30日12时,西丽阳光工业区,113.928427883,22.63730161
230,深圳市南山区,1月30日12时,蛇口街道海境界,113.93020068,22.495163673
231,深圳市南山区,1月30日12时,南头街道麒麟花园,113.926073742,22.548181497
232,深圳市南山区,1月30日12时,西丽街道德意名居,113.956497787,22.593584836
233,深圳市南山区,1月30日12时,海岸明珠,113.926820134,22.518678895
234,深圳市南山区,1月30日12时,半岛城邦,113.927269362,22.483393952
235,深圳市宝安区,1月30日12时,石岩街道伊隆达工业园,113.937195618,22.697056846
236,深圳市宝安区,1月30日12时,宝安大道与裕安一路交汇处卡罗社区,113.884905917,22.565561762
237,深圳市宝安区,1月30日12时,松岗街道碧头社区华都公寓,113.894570203,22.734065118
238,深圳市宝安区,1月30日12时,前海铂寓,113.857330331,22.55813056
239,深圳市盐田区,1月30日12时,沙头角街道上东湾,114.224069934,22.552625837
240,深圳市龙华区,1月30日12时,龙华街道新华苑2期,114.031367124,22.657865903
241,深圳市龙华区,1月30日12时,民治街道丰泽湖山庄,114.049584288,22.597799428
242,深圳市龙华区,1月30日12时,民治街道翔龙御庭,114.003237406,22.639519201
243,深圳市龙华区,1月30日12时,金地上塘道1期,114.017245461,22.63669943
244,深圳市龙华区,1月30日12时,观湖街道招商观园,114.055479765,22.692803984
245,深圳市龙华区,1月30日12时,华业玫瑰四季2期,114.015466571,22.627379819
246,深圳市龙岗区,1月30日12时,坂田街道荔园新村,114.065949512,22.639451284
247,深圳市龙岗区,1月30日12时,平湖特力商厦,114.126895003,22.701216666
248,深圳市龙岗区,1月30日12时,中海康城,114.201911999,22.710138965
249,深圳市龙岗区,1月30日12时,龙城街道东方沁园,114.21962496,22.728003572
250,深圳市龙岗区,1月30日12时,布澜路尚峰花园,114.133077091,22.62648004
251,深圳市坪山区,1月30日12时,坪山街道万科金域缇香,114.336424418,22.710409013
